"variable","class","missing_n","missing_pct","source","relative_path"
"fara_lapop1share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lapop20share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lapophalfshare","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_laseniors10share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_laseniors1_10share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_laseniors1share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_laseniors20share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_laseniorshalfshare","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_latracts1","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_latracts10","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_latracts20","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_latracts_half","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_latracts_vehicle_20","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lilatracts_1_and10","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lilatracts_1_and20","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lilatracts_half_and10","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_low_income_tracts","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_pctgqtrs","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"vnl_value_aw","numeric",0,0,"visible_nighttime_light","6_vnl/vnl_demo100k.parquet"
